CustomerID;Channel
1;Store
2;Store
3;Store
4;Store
5;Store
6;Store
7;Store
8;Store
9;Store
10;Store
11;Store
12;Store
14;Store
15;Store
16;Store
17;Store
18;Store
19;Store
20;Store
21;Store
22;Store
23;Store
24;Store
25;Store
26;Store
27;Store
28;Store
29;Store
30;Store
31;Store
33;Store
34;Store
36;Store
37;Store
38;Store
39;Store
40;Store
41;Store
43;Store
44;Store
45;Store
46;Store
47;Store
48;Store
49;Store
50;Store
51;Store
52;Store
53;Store
54;Store
55;Store
56;Store
57;Store
58;Store
59;Store
61;Store
62;Store
63;Store
64;Store
65;Store
66;Store
67;Store
68;Store
69;Store
70;Store
72;Store
73;Store
75;Store
77;Store
78;Store
79;Store
80;Store
81;Store
83;Store
84;Store
85;Store
86;Store
87;Store
88;Store
89;Store
90;Store
91;Store
92;Store
93;Store
94;Store
95;Store
96;Store
97;Store
98;Store
99;Store
100;Store
101;Store
102;Store
103;Store
104;Store
106;Store
107;Store
108;Store
109;Store
110;Store
111;Store
112;Store
113;Store
114;Store
115;Store
116;Store
117;Store
118;Store
119;Store
120;Store
121;Store
122;Store
123;Store
124;Store
125;Store
126;Store
127;Store
128;Store
130;Store
131;Store
133;Store
134;Store
135;Store
136;Store
137;Store
138;Store
139;Store
141;Store
142;Store
143;Store
144;Store
145;Store
146;Store
147;Store
148;Store
149;Store
150;Store
151;Store
152;Store
153;Store
154;Store
155;Store
156;Store
157;Store
159;Store
160;Store
161;Store
162;Store
163;Store
164;Store
165;Store
166;Store
167;Store
168;Store
169;Store
170;Store
171;Store
172;Store
173;Store
175;Store
176;Store
177;Store
178;Store
179;Store
180;Store
181;Store
182;Store
183;Store
184;Store
185;Store
186;Store
187;Store
190;Store
191;Store
193;Store
195;Store
196;Store
197;Store
198;Store
199;Store
200;Store
201;Store
202;Store
203;Store
205;Store
206;Store
207;Store
208;Store
210;Store
211;Store
212;Store
213;Store
214;Store
216;Store
217;Store
218;Store
219;Store
220;Store
221;Store
222;Store
223;Store
224;Store
225;Store
226;Store
227;Store
228;Store
229;Store
230;Store
231;Store
232;Store
233;Store
